Symbol
HDFCBANK
RELIANCE
INFY
HCLTECH
BAJFINANCE
ICICIBANK
FEDERALBNK
SBIN
DRREDDY
AXISBANK
IDEA
RBLBANK
VEDL
INDUSINDBK
HDFC
MINDTREE
DMART
TCS
KOTAKBANK
TATASTEEL
YESBANK
TATAMOTORS
HINDUNILVR
ITC
LT
BANKBARODA
IOC
VOLTAS
EICHERMOT
BHARTIARTL
JINDALSTEL
AMBER
TATAELXSI
UPL
LAURUSLABS
HINDALCO
GAIL
JSWSTEEL
MARUTI
JUSTDIAL
RELIANCEPP
PIDILITIND
WIPRO
COALINDIA
BPCL
ULTRACEMCO
BAJAJFINSV
TECHM
M&MFIN
HEROMOTOCO
MUTHOOTFIN
ASHOKLEY
DIVISLAB
PVR
L&TFH
MRF
ASIANPAINT
BANDHANBNK
MOTHERSUMI
NESTLEIND
CIPLA
ACC
HDFCLIFE
INDIGO
ZEEL
DLF
HINDPETRO
COLPAL
ALKEM
ASTRAL
DIXON
TATAPOWER
BAJAJCON
KEI
BRITANNIA
NTPC
IBULHSGFIN
ONGC
LUPIN
ABFRL
LTI
GLENMARK
ESCORTS
PGHH
PEL
MAGMA
GRANULES
SUNPHARMA
SAIL
DEEPAKNI
CADILAHC
BHEL
BATAINDIA
MCX
APOLLOHOSP
IDFCFIRSTB
CANBK
NAUKRI
SRTRANSFIN
GODREJPROP
AMBUJACEM
M&M
TITAN
FINEORG
BAJAJ-AUTO
BLISSGVS
FRETAIL
ADANIENT
TATACONSUM
DABUR
BIOCON
COFORGE
AUBANK
INFRATEL
THYROCARE
CENTRALBK
SRF
MANAPPURAM
SIEMENS
NMDC
NCC
AMARAJABAT
POWERGRID
LTTS
PIIND
HINDZINC
PNB
BEL
JUBLFOOD
LICHSGFIN
OFSS
BHARATFORG
HDFCAMC
AUROPHARMA
SPICEJET
KAJARIACER
GRASIM
TATAMETALI
BSOFT
ADANIPORTS
NATIONALUM
ADANIGREEN
COROMANDEL
MGL
VBL
BERGEPAINT
BEML
CEATLTD
PHILIPCARB
ICICIGI
TATACHEM
JSL
TATAMTRDVR
SYNGENE
HAVELLS
TORNTPHARM
BOSCHLTD
DHFL
IEX
PETRONET
HAL
CHOLAFIN
STAR
BALKRISIND
MPHASIS
IDFC
TVSMOTOR
CONCOR
SUNTV
TRIDENT
PRESTIGE
CESC
APOLLOTYRE
PERSISTENT
GODREJAGRO
ENGINERSIN
HONAUT
IFBIND
MARICO
CANFINHOME
DCBBANK
CUB
GMRINFRA
BANKINDIA
KANSAINER
UBL
CYIENT
GODREJCP
HATSUN
FCONSUMER
GNFC
SONATSOFTW
SOUTHBANK
DEEPAKFERT
GRAPHITE
EMAMILTD
TORNTPOWER
PAGEIND
JKLAKSHMI
ATUL
HFCL
SANOFI
CASTROLIND
SWANENERGY
IDBI
SHREECEM
BOMDYEING
GPPL
TV18BRDCST
ICICIPRULI
ADANIGAS
RALLIS
INDIACEM
PFC
IGL
ABCAPITAL
CGCL
KPITTECH
IPCALAB
ASTRAZEN
CENTURYTEX
QUESS
RPOWER
ISEC
CRISIL
BASF
DISHTV
JUBILANT
NATCOPHARM
NAVINFLUOR
PGHL
UNIONBANK
DELTACORP
NOCIL
EQUITAS
VINATIORGA
GSFC
MIDHANI
SUNTECK
INDHOTEL
RCF
UJJIVAN
SOMANYCERA
LALPATHLAB
APLAPOLLO
JKCEMENT
SUZLON
HIMATSEIDE
RECLTD
WHIRLPOOL
PFIZER
CUMMINSIND
SBILIFE
IIFL
INDIANB
BAJAJHLDNG
BAYERCROP
RAMCOCEM
BLUEDART
JBCHEPHARM
REDINGTON
NBCC
IBREALEST
